1.805	0.73175	-9.26102
1.81	0.684988	-9.35249
1.815	0.637797	-9.43811
1.82	0.590208	-9.51783
1.825	0.54225	-9.59161
1.83	0.493953	-9.65939
1.835	0.445347	-9.72114
1.84	0.396463	-9.7768
1.845	0.347332	-9.82636
1.85	0.297983	-9.86978
1.855	0.248448	-9.90703
1.86	0.198757	-9.93808
1.865	0.148943	-9.96293
1.87	0.0990348	-9.98154
1.875	0.0490652	-9.99392
1.88	-0.000935071	-10.0001
1.885	-0.0509348	-9.99994
1.89	-0.100903	-9.99357
1.895	-0.150807	-9.98096
1.9	-0.200618	-9.96211
1.905	-0.250303	-9.93703
1.91	-0.299832	-9.90574
1.915	-0.349173	-9.86827
1.92	-0.398296	-9.82462
1.925	-0.44717	-9.77483
1.93	-0.495765	-9.71894
1.935	-0.54405	-9.65697
1.94	-0.591995	-9.58896
1.945	-0.63957	-9.51496
1.95	-0.686745	-9.43501
1.955	-0.73349	-9.34917
1.96	-0.779778	-9.25748
1.965	-0.825578	-9.16001
1.97	-0.870862	-9.05681
1.975	-0.915602	-8.94796
1.98	-0.959769	-8.83351
1.985	-1.00334	-8.71354
1.99	-1.04628	-8.58812
1.995	-1.08856	-8.45733
2	-1.13017	-8.32126
2.005	-1.17107	-8.17999
2.01	-1.21124	-8.03361
2.015	-1.25065	-7.8822
2.02	-1.28928	-7.72587
2.025	-1.3271	-7.56471
2.03	-1.3641	-7.39882
2.035	-1.40024	-7.22831
2.04	-1.4355	-7.05328
2.045	-1.46987	-6.87384
2.05	-1.50332	-6.69011
2.055	-1.53584	-6.50219
2.06	-1.56739	-6.31021
2.065	-1.59796	-6.11429
2.07	-1.62753	-5.91455
2.075	-1.65609	-5.71111
2.08	-1.68361	-5.50409
2.085	-1.71007	-5.29364
2.09	-1.73547	-5.07988
2.095	-1.75979	-4.86295
2.1	-1.783	-4.64298
2.105	-1.8051	-4.4201
2.11	-1.82608	-4.19446
2.115	-1.84591	-3.9662
2.12	-1.86459	-3.73547
2.125	-1.8821	-3.50239
2.13	-1.89843	-3.26713
2.135	-1.91358	-3.02983
2.14	-1.92753	-2.79063
2.145	-1.94028	-2.54969
2.15	-1.95182	-2.30715
2.155	-1.96213	-2.06317
2.16	-1.97122	-1.81791
2.165	-1.97908	-1.5715
